,pl_orbper,pl_rade,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass,disc_year,pl_orbsmax,pl_vol_earth,insolation_flux
pl_orbper,1.0,0.01527091078058665,0.11378005384309339,-0.007201112017252688,-0.017707692456605608,-0.008423617421804615,-0.017166513182668427,0.009799825555086464,0.9988857176439857,0.009269492499760229,-0.0005885003253130116
pl_rade,0.01527091078058665,1.0,0.2663680724583065,0.30512984329555703,0.19134780184289862,0.32105501032720746,0.33677821608140096,-0.15825141431292086,0.03883766261627241,0.8602743386440055,0.05327165333035859
pl_orbeccen,0.11378005384309339,0.2663680724583065,1.0,0.016431715580919735,-0.036632738821098,0.059642348903181416,0.057221188719855744,0.03595753191475527,0.12467607723968374,0.16343669739770597,0.0068341777399608715
pl_eqt,-0.007201112017252688,0.30512984329555703,0.016431715580919735,1.0,0.3152800338074689,0.36056438756664383,0.374837253362904,-0.0270123097501225,-0.0021178423766361415,0.35432741337300966,0.13619621364558424
st_teff,-0.017707692456605608,0.19134780184289862,-0.036632738821098,0.3152800338074689,1.0,0.4745188538340518,0.8340806248270453,-0.08284887321109803,-0.021628803870857968,0.17181470608989227,0.3217865706967619
st_rad,-0.008423617421804615,0.32105501032720746,0.059642348903181416,0.36056438756664383,0.4745188538340518,1.0,0.6696688144213302,-0.060668076648716866,-0.00963154932258886,0.2736698559204341,0.11534309642775305
st_mass,-0.017166513182668427,0.33677821608140096,0.057221188719855744,0.374837253362904,0.8340806248270453,0.6696688144213302,1.0,-0.0865853073669471,-0.022295305792814423,0.28454762424544083,0.042183478318233616
disc_year,0.009799825555086464,-0.15825141431292086,0.03595753191475527,-0.0270123097501225,-0.08284887321109803,-0.060668076648716866,-0.0865853073669471,1.0,0.007079629859735917,-0.13606753000694524,-0.028550975412044242
pl_orbsmax,0.9988857176439857,0.03883766261627241,0.12467607723968374,-0.0021178423766361415,-0.021628803870857968,-0.00963154932258886,-0.022295305792814423,0.007079629859735917,1.0,0.02977159683131708,-0.0008726521715477745
pl_vol_earth,0.009269492499760229,0.8602743386440055,0.16343669739770597,0.35432741337300966,0.17181470608989227,0.2736698559204341,0.28454762424544083,-0.13606753000694524,0.02977159683131708,1.0,0.07969635991961083
insolation_flux,-0.0005885003253130116,0.05327165333035859,0.0068341777399608715,0.13619621364558424,0.3217865706967619,0.11534309642775305,0.042183478318233616,-0.028550975412044242,-0.0008726521715477745,0.07969635991961083,1.0
