,pl_orbper,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass,disc_year,pl_orbsmax,pl_vol_earth,pl_mass_kg,pl_density,insolation_flux
count,24156.0,26434.0,3002.0,15635.0,26434.0,25422.0,26128.0,21739.0,26434.0,18407.0,26434.0,3002.0,3002.0,18094.0
mean,17492.489168563123,3.6248742409139743,374.5163541197602,0.014758344227694276,847.4902644321706,5474.647740539691,1.0194569128903856,0.9341301457748747,2015.8735719149581,0.9773212651783019,384890615061908.7,2.2358626340949683e+27,10207390000462.092,427.571935000745
std,2587556.5429222942,3.896448752286338,953.1234658378953,0.06632525041791061,334.19560963333646,788.1899859651013,0.48978191512504876,0.23355678854943873,3.257655731011732,59.711036878187464,1324294374759327.2,5.690147091052235e+27,99079812900886.38,5512.9404991384035
min,0.1120067,0.27,0.065,0.0,37.0,575.0,0.0123,0.0147,1999.0,0.005,21320761744.27497,3.8805e+23,19929453459.06358,3.2398105541334696e-10
10%,2.40901384,1.16,4.0789446620000005,0.0,489.0,4303.0,0.611,0.62992,2013.0,0.033906000000000006,1690773343676.8691,2.435129963214e+25,294867065744.84283,6.8005894472388055
25%,4.24261881,1.55,9.23,0.0,710.0,5132.0,0.781,0.813,2014.0,0.0513,4033727157468.982,5.51031e+25,591448526665.8014,24.026569412871172
50%,9.521891499999999,2.29,112.032495,0.0,797.0,5648.0,0.935,0.947,2016.0,0.0876,13008219949124.568,6.6883399515e+26,1408741829394.5068,90.97653860597975
75%,21.4054901,3.2186225,356.68471750000003,0.0,905.0,5982.0,1.156,1.066,2016.0,0.15625,36117823350208.516,2.129407763475e+27,4341782422430.7524,308.7962536762486
90%,51.61953,10.24,797.4354700000002,0.0044000000000001815,1265.0,6220.0,1.5,1.19,2021.0,0.281,1163084570663375.8,4.7606897559000016e+27,9146548425004.762,865.1365257620531
max,402000000.0,29.77,25426.4,0.9412,4050.0,27730.0,19.2,4.26,2025.0,7506.0,2.857905922822667e+16,1.5179560800000002e+29,4121583003770693.0,609794.8660882276
skew,155.23400867310045,2.4107976328167733,9.646257022260361,6.707693700970287,1.7804027635632518,1.11161128935302,9.879435820981502,0.254437750308242,0.28500078200649787,111.61831811325355,6.7032735708960995,9.646257022260366,29.360036411156475,93.08690259814392
kurtosis,24116.603231377918,5.456222096762017,179.641803696495,55.62140488992037,6.652529072833767,52.13045596820086,294.3963546738359,5.001630396899576,1.3368871647120026,13669.45846057483,71.46277193968503,179.64180369649515,1072.0821137575897,9496.816345645777
missing,2278.0,0.0,23432.0,10799.0,0.0,1012.0,306.0,4695.0,0.0,8027.0,0.0,23432.0,23432.0,8340.0
missing_pct,8.617689339487024,0.0,88.64341378527654,40.8526897177877,0.0,3.8284028145570104,1.1576000605281078,17.761216614965576,0.0,30.366195051827194,0.0,88.64341378527654,88.64341378527654,31.550276159491563
